,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,RSI_14,BB_Upper,BB_Lower,Volume_MA_20,Target
2021-12-31,1077.5367431640625,1084.703115610681,1073.828388538488,1079.7435583793856,9477290,1082.3928283691407,1117.8576147460938,1085.815133380098,44.51200129421548,1120.952080738863,1043.8335759994184,12218414.7,1
2022-01-03,1093.780517578125,1095.6461284145312,1075.4435886178533,1076.1033704774222,5421611,1083.3312866210938,1115.8678442382814,1086.5737413989577,53.08351530518216,1122.0474057529677,1044.6151674892199,11972882.55,1
2022-01-04,1118.465087890625,1119.7846517979926,1093.848914455948,1099.2636517956478,10847728,1085.0660217285156,1114.3271728515624,1089.6110124934023,59.835513781672546,1126.8523453505338,1043.2796981064973,11953512.85,0
2022-01-05,1123.6976318359375,1127.0647821675334,1107.021469888781,1120.2396140596422,11643813,1086.2376770019532,1113.12412109375,1092.8573571926913,57.96561412593408,1131.024684594978,1041.4506694089284,12098494.6,1
2022-01-06,1099.5364990234375,1116.5994791465537,1096.1238548571223,1115.3254092772324,14447422,1085.328790283203,1110.8986596679688,1093.4934659384767,59.45778224410007,1128.1195290663397,1042.5380515000663,12160188.35,1
2022-01-07,1108.4093017578125,1118.4422714413886,1097.2842377517782,1106.111498715673,13112115,1084.8066650390624,1109.1568725585937,1094.9140217307945,72.13000156424599,1126.1038928941587,1043.5094371839662,12397573.4,1
2022-01-10,1109.3193359375,1117.9646215781718,1099.3318598320666,1115.6895654128748,9246731,1085.451641845703,1107.6953784179686,1096.2859564171474,69.4074607172844,1127.8994453827488,1043.0038383086574,12214823.3,1
2022-01-11,1117.3048095703125,1126.1319502273575,1107.9542483452858,1108.409307707792,16205164,1087.167041015625,1106.9609912109374,1098.287751955544,65.46243257080529,1131.9081028273067,1042.4259792039434,12375505.35,1
2022-01-12,1147.130859375,1148.8827357783716,1121.604686652831,1124.471284081761,14800442,1090.5318542480468,1106.8090185546876,1102.9394764716828,72.01582615484315,1142.4910037671325,1038.572704728961,12647179.0,1
2022-01-13,1153.592041015625,1156.1856749337926,1141.3522552982324,1147.19918473575,11856712,1093.5212951660155,1107.1229760742187,1107.7635302377726,72.53188326654872,1152.657138696699,1034.3854516353322,12751950.65,0
2022-01-14,1155.2755126953125,1168.1523329319614,1149.2921017722908,1153.455515914101,19930176,1098.038427734375,1107.62712890625,1112.2884809480145,73.32415212914202,1161.614611711935,1034.4622437568153,12695968.4,0
2022-01-17,1161.3043212890625,1167.1057561240766,1154.3654186486065,1154.82047798332,8036453,1104.2925598144532,1108.1130786132812,1116.9566562185905,72.178168503155,1166.8657214400112,1041.7193981888952,12381498.75,0
2022-01-18,1147.44921875,1165.8998821993202,1144.696356607209,1162.4418646639435,6215029,1109.082696533203,1108.2937133789062,1119.8607097930105,65.9833870683675,1169.310566276725,1048.854826789681,12050422.15,0
2022-01-19,1147.3582763671875,1156.6404758295853,1141.6250823732196,1151.1803655784236,9755485,1112.6204162597655,1108.2928002929686,1122.479525657218,74.62121735624063,1173.1269966517348,1052.1138358677963,11655269.25,0
2022-01-20,1127.2696533203125,1142.0575796806486,1117.0545865844654,1137.5529609143537,16494486,1115.1730407714845,1107.6334912109376,1122.9357282917983,64.96856473548232,1173.4808541918023,1056.8652273511666,12026373.5,0
2022-01-21,1127.4515380859375,1138.5538554378695,1115.6895591579548,1115.6895591579548,13338594,1117.56298828125,1106.9355004882811,1123.3658054150496,61.21898979348628,1173.6153645288828,1061.5106120336172,12298978.5,0
2022-01-24,1081.9730224609375,1139.6912967231897,1071.598729229798,1126.1545759538076,21868937,1117.7370300292969,1104.9771264648436,1119.423635609896,39.320847893448175,1173.2980719980058,1062.175988060588,13191564.2,1
2022-01-25,1079.857177734375,1086.8643207820105,1048.8025393882083,1069.0733192604368,24510205,1117.16484375,1103.1156713867188,1115.6554015265133,36.93201127990539,1174.0911230367892,1060.2385644632109,14098343.8,1
2022-01-27,1063.863525390625,1072.0537511885557,1051.5554999211186,1062.9080331478983,20020431,1115.6997009277343,1101.4794458007811,1110.722841894524,38.822322537115106,1176.5965551263964,1054.8028467290721,14328099.75,1
2022-01-28,1062.83984375,1081.0630398643073,1059.4500666597933,1076.103482458547,14667727,1115.1707458496094,1100.3132470703124,1106.1625563569503,34.98270600530848,1177.7738126646905,1052.5676790345283,13594827.55,0
2022-01-31,1085.9317626953125,1094.9409997464795,1072.0993294430996,1073.91944662709,12143683,1115.5904968261718,1099.5242578125,1104.235814103461,43.27576754963215,1177.236361569404,1053.9446320829397,13728147.2,0
2022-02-01,1082.337158203125,1101.402112704543,1067.9587979070466,1095.6690383601324,13200509,1115.018328857422,1099.6603076171875,1102.1502278272387,39.685927667011605,1177.7199142496315,1052.3167434652123,14117092.1,0
2022-02-02,1084.5438232421875,1095.2138271372608,1080.6989871423398,1095.2138271372608,10017691,1113.322265625,1099.639375,1100.4734273905672,27.945987751236018,1177.4501880854616,1049.1943431645384,14075590.25,0
2022-02-03,1070.529541015625,1092.6886822523618,1068.0042683536662,1088.3887863228124,9572839,1110.6638610839843,1099.6516577148439,1097.6216286881918,22.210233296685885,1177.3383750298535,1043.9893471381151,13972041.55,1
2022-02-04,1060.76953125,1068.573059435484,1056.1284310635565,1065.183161923649,11061241,1108.7255126953125,1098.18060546875,1094.1119051226497,20.00277424539363,1178.9230736377192,1038.527951752906,13802732.5,1
2022-02-07,1054.3084716796875,1072.372440138568,1048.802746440698,1065.63825913264,10714467,1106.0204711914062,1097.3115356445312,1090.3211019376056,16.13129085257755,1180.3190619459538,1031.7218804368586,13682850.1,1
2022-02-08,1072.031005859375,1073.8283759531455,1051.077695211511,1060.4737500675897,12060849,1104.1560546875,1096.5339184570312,1088.5791880253933,26.69748895647766,1179.9621967251094,1028.3499126498907,13823556.0,1
2022-02-09,1084.5211181640625,1086.204633140618,1072.918368570495,1078.901658786714,11486225,1102.5168701171874,1096.3346264648437,1088.1927051814569,31.966497528793376,1178.5433412920347,1026.49039894234,13587609.05,1
2022-02-10,1083.406494140625,1090.0723137940836,1076.1490130370194,1090.0723137940836,12464491,1099.3306518554687,1095.5524609375,1087.7368755585205,35.87332314831778,1172.782210131967,1025.8790935789702,13470811.5,1
2022-02-11,1081.29052734375,1084.9761347999724,1066.593591416207,1079.857228868873,15943370,1095.715576171875,1094.5837377929688,1087.1229376333042,35.316200791055316,1164.9164987513104,1026.5146535924396,13675144.4,1
2022-02-14,1064.0684814453125,1071.5306852913077,1052.442863231321,1064.841998172486,10719633,1091.155224609375,1093.949453125,1084.9272751392098,43.056326159614464,1155.6938510626337,1026.6165981561162,13214617.25,1
2022-02-15,1100.1964111328125,1102.9037798370225,1062.7716573911962,1069.824295697398,11212671,1088.0998291015626,1094.453154296875,1086.3814785671718,56.24136104591185,1143.8417181048121,1032.357940098313,13373428.15,0
2022-02-16,1097.9212646484375,1107.0442358991004,1090.1860980638264,1105.6791781831728,10392840,1085.6234313964844,1094.736171875,1087.4805058130066,61.41187730844271,1134.2042615632236,1037.0426012297453,13582318.7,0
2022-02-17,1111.82177734375,1117.0089242641511,1096.5789142269996,1101.1745201113265,12853252,1083.8466064453125,1094.9673168945312,1089.7987221492679,65.10879567919922,1124.9433629883501,1042.749849902275,13737207.05,0
2022-02-18,1103.1312255859375,1117.6915612787002,1101.1973736454247,1112.2314504381943,6775458,1082.6396850585938,1094.6756567382813,1091.0684843813317,55.82258749708661,1119.5740036967704,1045.7053664204172,13251255.65,0
2022-02-21,1091.9833984375,1109.091873871227,1085.021748188729,1097.4890031023697,11107193,1080.866278076172,1094.1382885742187,1091.155619053348,53.10669428102802,1111.6319009092936,1050.1006552430504,13139685.6,0
2022-02-22,1087.023681640625,1090.1633625619224,1067.9814753307442,1070.5977356852184,13494914,1081.1188110351563,1093.9503662109375,1090.7621012045172,50.78475379629237,1112.00536110434,1050.2322609659727,12720984.45,1
