,Actual,Predicted,Probability,Close,CashInHand,Stock_Value,Stratergy_Value,BuyHold_Value,Strategy_Value
2023-10-31,1,0,0.35291427,1135.5452880859375,110776.3940211656,0.0,110776.3940211656,98372.48174965868,110776.3940211656
2023-11-01,1,0,0.34284264,1140.2603759765625,110776.3940211656,0.0,110776.3940211656,98780.95061684967,110776.3940211656
2023-11-02,0,0,0.40212056,1151.57666015625,110776.3940211656,0.0,110776.3940211656,99761.28224309126,110776.3940211656
2023-11-03,0,0,0.36167914,1151.3284912109375,110776.3940211656,0.0,110776.3940211656,99739.7833250827,110776.3940211656
2023-11-06,0,0,0.36657584,1160.9075927734375,110776.3940211656,0.0,110776.3940211656,100569.62252526423,110776.3940211656
2023-11-07,1,0,0.37309232,1153.3634033203125,110776.3940211656,0.0,110776.3940211656,99916.06810776984,110776.3940211656
2023-11-08,1,0,0.35837266,1159.368896484375,110776.3940211656,0.0,110776.3940211656,100436.32500362227,110776.3940211656
2023-11-09,1,0,0.32080054,1146.787109375,110776.3940211656,0.0,110776.3940211656,99346.3626430005,110776.3940211656
2023-11-10,1,0,0.32756028,1148.946044921875,110776.3940211656,0.0,110776.3940211656,99533.39159720596,110776.3940211656
2023-11-13,1,1,0.5235611,1148.7972412109375,0.0,110665.72829287274,110665.72829287274,99520.50070637839,110665.72829287274
2023-11-15,1,0,0.43865553,1169.5684814453125,112553.99299483983,0.0,112553.99299483983,101319.91678631124,112553.99299483983
2023-11-16,1,0,0.47415158,1171.6778564453125,112553.99299483983,0.0,112553.99299483983,101502.65230189817,112553.99299483983
2023-11-17,1,1,0.5034747,1169.121826171875,0.0,112441.55144339646,112441.55144339646,101281.22296388459,112441.55144339646
2023-11-20,1,1,0.56380755,1166.044677734375,0.0,112145.60337657518,112145.60337657518,101014.64907054459,112145.60337657518
2023-11-21,1,0,0.39780846,1180.7109375,113442.59056675115,0.0,113442.59056675115,102285.18965247207,113442.59056675115
2023-11-22,0,0,0.29288846,1185.326904296875,113442.59056675115,0.0,113442.59056675115,102685.07164242599,113442.59056675115
2023-11-23,0,0,0.29564953,1188.9500732421875,113442.59056675115,0.0,113442.59056675115,102998.94738537364,113442.59056675115
2023-11-24,1,0,0.27834082,1188.1558837890625,113442.59056675115,0.0,113442.59056675115,102930.14661775742,113442.59056675115
2023-11-28,1,0,0.28181773,1188.404052734375,113442.59056675115,0.0,113442.59056675115,102951.64553576599,113442.59056675115
2023-11-29,1,0,0.18612775,1191.5308837890625,113442.59056675115,0.0,113442.59056675115,103222.52344269649,113442.59056675115
2023-11-30,1,0,0.2792302,1179.9913330078125,113442.59056675115,0.0,113442.59056675115,102222.85019272756,113442.59056675115
2023-12-01,1,0,0.3923869,1188.3544921875,113442.59056675115,0.0,113442.59056675115,102947.35209714745,113442.59056675115
2023-12-04,1,0,0.21366318,1201.209228515625,113442.59056675115,0.0,113442.59056675115,104060.96009508708,113442.59056675115
2023-12-05,0,0,0.19667578,1209.9197998046875,113442.59056675115,0.0,113442.59056675115,104815.55836972459,113442.59056675115
2023-12-06,0,0,0.16662267,1221.5091552734375,113442.59056675115,0.0,113442.59056675115,105819.54620825598,113442.59056675115
2023-12-07,1,0,0.11550074,1219.4990234375,113442.59056675115,0.0,113442.59056675115,105645.40814487809,113442.59056675115
2023-12-08,1,0,0.13310277,1218.853759765625,113442.59056675115,0.0,113442.59056675115,105589.5088430614,113442.59056675115
